軍旅,戰火
石灰水,石灰液
惡舌,惡言
家塾本,坊刻版
骨壞疽,唐瘡
充腹痛,蛔腹痛
少毛類,貧毛類
減稅,增稅
雄力,雄力
從叔母,從叔母
同好者,同好人
玄水,穀茶
戮殺,殺戮
已往,已往
單聲,同聲
中大葉,中大葉
起復,起復
長班,長班
筆記帳,筆記帳
胸宇,胸曲
人迹,人迹
靈巖,靈巖
艾俑,艾人
實職,雜織
白鸛,負金
陽極,陽極
蜀鳥,杜宇
氣疸,氣疸
鎔點,融解溫度
姊壻,姊兄
最後,最初
四則計算,四則算法
渾濁,混濁
面具,面具
靜慮,靜慮
仙鼠,伏翼
雜華經,華嚴經
混合肥料,配合肥料
廣城鎭,廣城鎭
溝澮,溝洫
始祖,始祖
宿站,宿站
高祖父,高祖父
朗唱,朗誦
計算法,算法
鴨綠江,鴨綠江
亂泥流,亂泥流
樹狀突起,神經突起
津渡,渡口
自己分解,自家分解
陰子,陰子
沙鑛床,沙鑛
鰭脚類,海生食肉類
外部營力,外的營力
捕虜,俘囚
全跏,結跏趺坐
舍利塔,舍利堂
最頻値,最頻値
捕討,捕殺
心包炎,圍心囊
瓜蔞,瓜蔞
掌樂院,掌樂院
補充權,代用權
採掘,採掘
强求,强求
疫神,天然痘
沈澱,沈滓
騎兵,馬兵
二竪,二竪
候樓,候樓
名僧,名僧
磨羯宮,磨蝎宮
心膜,心膜
加結,加結
鐵彈,鐵彈
對世權,對世權
年甲,年甲者
狂病,狂疾
年始,年初
專門語,專門用語
綺語,綺語
輕水爐,輕水型原子爐
騎判,騎判
金官國,伽倻
山峯,山嶺
素行,品行
蜀鳥,蜀魂
自動旋盤,自動盤
刊本,版本
極北地方,北極地方
周遊天下,周遊四方
三邊形,三角形
紅藻素,紅藻素
刹竿,刹竿
貪食細胞,貪食細胞
高柱礎石,長礎石
封內,封彌
宸闕,九禁
交爵,交觴
行伍,伍列
山鴞,鴟鴞
冷色,冷色
碁局,棋局
探騎,探騎
蛣蟨,孑孒
將臨節,待臨節
物神崇拜,物神崇拜
光鹵石,沙金鹵石
實心,眞心
豫納,前納
佳日,嘉辰
醉裏,醉裡
胡壽,長壽
螳蜋科,蟷螂科
會案,會議錄
舌尖,舌端
不能,可能
連接桿,連杆
褊裨,褊將
半月不等,半月位相不等
瞳子,瞳孔
幣物,幣物
腹足類,腹足類
第二分裂,同型分裂
熊魚,蛇鱓
蒼昊,蒼空
浮屠,佛僧
老人,耆艾
規免,謀免
嘆美,歎美
再製鹽,再鹽
流離丐乞,乞食
無色光覺,無色光覺
降着,着陸
經常豫算,通常豫算
選拔試驗,選試
捕盜軍士,捕卒
自由職業,自由業
索條,索條
曄然,曄曄
魔羅,魔羅
防衛線,防衛線
目擊,目擊
幾何平均,相乘平均
甲冑,鎧胄
房室瓣,帆狀瓣
裨將,幕客
輻射壓,輻射壓
